datetime,type,temp_C,condition,humidity,wind_speed_m_s
2025-10-04 15:59:40.968175,current,16.37,super rainy,76,2.21
2025-10-05 00:00:00,forecast,16.07,overcast clouds,76,2.18
2025-10-05 03:00:00,forecast,15.55,overcast clouds,78,0.53
2025-10-05 06:00:00,forecast,14.09,broken clouds,82,0.57
2025-10-05 09:00:00,forecast,13.0,clear sky,83,1.17
2025-10-05 12:00:00,forecast,10.38,clear sky,74,0.72
2025-10-05 15:00:00,forecast,10.82,super rainy,63,1.11
2025-10-05 18:00:00,forecast,14.26,broken clouds,51,1.39
2025-10-05 21:00:00,forecast,15.33,few clouds,54,2.16
2025-10-06 00:00:00,forecast,14.78,scattered clouds,55,1.71
2025-10-06 03:00:00,forecast,12.97,few clouds,62,1.83
2025-10-06 06:00:00,forecast,12.46,broken clouds,69,0.7
2025-10-06 09:00:00,forecast,11.8,broken clouds,68,0.64
2025-10-06 12:00:00,forecast,11.13,scattered clouds,70,0.55
2025-10-06 15:00:00,forecast,11.05,few clouds,68,0.19
2025-10-06 18:00:00,forecast,14.51,few clouds,58,1.49
2025-10-06 21:00:00,forecast,15.56,few clouds,56,2.33
2025-10-07 00:00:00,forecast,15.17,broken clouds,57,1.53
2025-10-07 03:00:00,forecast,13.13,scattered clouds,67,1.11
2025-10-07 06:00:00,forecast,12.65,few clouds,73,0.8
2025-10-07 09:00:00,forecast,12.34,overcast clouds,73,0.4
2025-10-07 12:00:00,forecast,11.66,broken clouds,75,0.28
2025-10-07 15:00:00,forecast,11.37,few clouds,73,0.86
2025-10-07 18:00:00,forecast,14.66,few clouds,61,1.41
2025-10-07 21:00:00,forecast,15.68,broken clouds,58,1.8
2025-10-08 00:00:00,forecast,14.88,overcast clouds,62,0.92
2025-10-08 03:00:00,forecast,12.39,broken clouds,75,1.67
2025-10-08 06:00:00,forecast,12.07,overcast clouds,82,2.41
2025-10-08 09:00:00,forecast,11.55,broken clouds,82,1.58
2025-10-08 12:00:00,forecast,10.62,broken clouds,83,0.37
2025-10-08 15:00:00,forecast,10.27,overcast clouds,84,2.57
2025-10-08 18:00:00,forecast,11.15,overcast clouds,85,2.83
2025-10-08 21:00:00,forecast,12.69,overcast clouds,75,0.76
2025-10-09 00:00:00,forecast,12.87,overcast clouds,76,1.95
2025-10-09 03:00:00,forecast,11.29,overcast clouds,86,2.5
2025-10-09 06:00:00,forecast,11.01,scattered clouds,86,2.24
2025-10-09 09:00:00,forecast,10.73,clear sky,84,1.21
2025-10-09 12:00:00,forecast,10.81,clear sky,80,2.76
2025-10-09 15:00:00,forecast,10.89,clear sky,76,2.14
2025-10-09 18:00:00,forecast,14.65,clear sky,60,1.91
2025-10-09 21:00:00,forecast,15.97,clear sky,62,3.28
